iter	Passed	Remaining
0	0	81
1	0	84
2	1	82
3	1	79
4	1	77
5	2	76
6	2	74
7	2	71
8	3	69
9	3	68
10	3	66
11	4	65
12	4	64
13	4	63
14	5	62
15	5	61
16	5	60
17	5	60
18	6	59
19	6	58
20	6	58
21	7	58
22	7	57
23	7	56
24	8	56
25	8	55
26	8	55
27	8	54
28	9	53
29	9	53
30	9	52
31	9	52
32	10	51
33	10	51
34	10	50
35	10	50
36	11	49
37	11	49
38	11	48
39	12	48
40	12	47
41	12	47
42	12	47
43	13	46
44	13	46
45	13	46
46	14	45
47	14	45
48	14	45
49	14	44
50	15	44
51	15	43
52	15	43
53	15	43
54	16	42
55	16	42
56	16	41
57	16	41
58	17	41
59	17	40
60	17	40
61	18	40
62	18	40
63	18	39
64	19	39
65	19	39
66	19	39
67	19	38
68	20	38
69	20	38
70	20	38
71	21	38
72	21	37
73	22	37
74	22	37
75	22	36
76	22	36
77	23	36
78	23	35
79	23	35
80	23	35
81	24	34
82	24	34
83	24	34
84	25	33
85	25	33
86	25	33
87	25	32
88	26	32
89	26	32
90	26	32
91	27	31
92	27	31
93	27	31
94	27	30
95	28	30
96	28	30
97	28	29
98	29	29
99	29	29
100	29	29
101	29	28
102	30	28
103	30	28
104	30	27
105	31	27
106	31	27
107	31	26
108	31	26
109	32	26
110	32	26
111	32	25
112	32	25
113	33	25
114	33	24
115	34	24
116	34	24
117	34	24
118	35	23
119	35	23
120	35	23
121	36	23
122	36	22
123	36	22
124	37	22
125	37	22
126	37	21
127	38	21
128	38	21
129	39	21
130	39	20
131	39	20
132	40	20
133	40	19
134	40	19
135	41	19
136	41	19
137	41	18
138	41	18
139	42	18
140	42	17
141	42	17
142	43	17
143	43	16
144	43	16
145	44	16
146	44	16
147	44	15
148	45	15
149	45	15
150	45	14
151	46	14
152	46	14
153	46	13
154	46	13
155	47	13
156	47	13
157	47	12
158	48	12
159	48	12
160	48	11
161	49	11
162	49	11
163	49	10
164	49	10
165	50	10
166	50	9
167	50	9
168	51	9
169	51	9
170	51	8
171	52	8
172	52	8
173	52	7
174	53	7
175	53	7
176	53	7
177	54	6
178	54	6
179	54	6
180	55	5
181	55	5
182	56	5
183	56	4
184	56	4
185	57	4
186	57	4
187	57	3
188	58	3
189	58	3
190	59	2
191	59	2
192	59	2
193	60	1
194	60	1
195	61	1
196	61	0
197	61	0
198	62	0
199	62	0
